ts,cmd_get,cmd_set,get_hits,get_misses,rcount,ravg,rp99,wcount,wavg,wp99,badcrc,err5,cpu_total,cpu_idle,re2ec,re2ea,re2ep99,we2ec,we2ea,we2ep99,radmit,wadmit,wret
1785576893.137092661,0,0,0,0,0,0,0,0,0,0,0,0,420263549,379504574,0,0,0,0,0,0,0,0,0
1785576894.159645394,0,0,0,0,0,0,0,0,0,0,0,0,420266616,379507626,0,0,0,0,0,0,0,0,0
1785576895.181125383,0,0,0,0,0,0,0,0,0,0,0,0,420269680,379510671,0,0,0,0,0,0,0,0,0
1785576896.203784688,0,0,0,0,0,0,0,0,0,0,0,0,420272746,379513660,0,0,0,0,0,0,0,0,0
1785576897.226470307,0,0,0,0,0,0,0,0,0,0,0,0,420275813,379516712,0,0,0,0,0,0,0,0,0
1785576898.247260744,0,0,0,0,0,0,0,0,0,0,0,0,420278874,379519735,0,0,0,0,0,0,0,0,0
1785576899.268861609,0,0,0,0,0,0,0,0,0,0,0,0,420281937,379522740,0,0,0,0,0,0,0,0,0
1785576900.286788936,0,0,0,0,0,0,0,0,0,0,0,0,420284990,379525757,0,0,0,0,0,0,0,0,0
1785576901.306134555,0,0,0,0,0,0,0,0,0,0,0,0,420288049,379528775,0,0,0,0,0,0,0,0,0
1785576902.328157273,0,0,0,0,0,0,0,0,0,0,0,0,420291107,379531779,0,0,0,0,0,0,0,0,0
1785576903.347135530,0,0,0,0,0,0,0,0,0,0,0,0,420294165,379534820,0,0,0,0,0,0,0,0,0
1785576904.368993422,0,0,0,0,0,0,0,0,0,0,0,0,420297227,379537828,0,0,0,0,0,0,0,0,0
1785576905.390057142,0,0,0,0,0,0,0,0,0,0,0,0,420300290,379540851,0,0,0,0,0,0,0,0,0
1785576906.412783677,0,0,0,0,0,0,0,0,0,0,0,0,420303356,379543903,0,0,0,0,0,0,0,0,0
1785576907.434171383,0,0,0,0,0,0,0,0,0,0,0,0,420306418,379546905,0,0,0,0,0,0,0,0,0
1785576908.455773211,0,0,0,0,0,0,0,0,0,0,0,0,420309483,379549933,0,0,0,0,0,0,0,0,0
1785576909.478374271,0,0,0,0,0,0,0,0,0,0,0,0,420312549,379552984,0,0,0,0,0,0,0,0,0
1785576910.500243270,0,0,0,0,0,0,0,0,0,0,0,0,420315612,379555918,0,0,0,0,0,0,0,0,0
1785576911.522911109,0,0,0,0,0,0,0,0,0,0,0,0,420318678,379558938,0,0,0,0,0,0,0,0,0
1785576912.546132150,0,0,0,0,0,0,0,0,0,0,0,0,420321746,379561992,0,0,0,0,0,0,0,0,0
1785576913.567924656,0,0,0,0,0,0,0,0,0,0,0,0,420324810,379564977,0,0,0,0,0,0,0,0,0
1785576914.591513899,0,0,0,0,0,0,0,0,0,0,0,0,420327879,379568027,0,0,0,0,0,0,0,0,0
1785576915.614177235,0,0,0,0,0,0,0,0,0,0,0,0,420330947,379571080,0,0,0,0,0,0,0,0,0
1785576916.636750292,0,0,0,0,0,0,0,0,0,0,0,0,420334013,379574079,0,0,0,0,0,0,0,0,0
1785576917.658895098,0,0,0,0,0,0,0,0,0,0,0,0,420337077,379577117,0,0,0,0,0,0,0,0,0
1785576918.680877190,0,0,0,0,0,0,0,0,0,0,0,0,420340142,379580163,0,0,0,0,0,0,0,0,0
1785576919.704074179,0,0,0,0,0,0,0,0,0,0,0,0,420343209,379583150,0,0,0,0,0,0,0,0,0
1785576920.726131272,0,0,0,0,0,0,0,0,0,0,0,0,420346279,379586179,0,0,0,0,0,0,0,0,0
1785576921.747252081,0,0,0,0,0,0,0,0,0,0,0,0,420349337,379589222,0,0,0,0,0,0,0,0,0
1785576922.766851737,0,0,0,0,0,0,0,0,0,0,0,0,420352393,379592197,0,0,0,0,0,0,0,0,0
1785576923.788931338,0,0,0,0,0,0,0,0,0,0,0,0,420355459,379595247,0,0,0,0,0,0,0,0,0
1785576924.813207045,0,0,0,0,0,0,0,0,0,0,0,0,420358538,379598284,0,0,0,0,0,0,0,0,0
1785576925.834128999,0,0,0,0,0,0,0,0,0,0,0,0,420361593,379601286,0,0,0,0,0,0,0,0,0
1785576926.854756448,0,0,0,0,0,0,0,0,0,0,0,0,420364654,379604331,0,0,0,0,0,0,0,0,0
1785576927.874048985,0,0,0,0,0,0,0,0,0,0,0,0,420367708,379607353,0,0,0,0,0,0,0,0,0
1785576928.894870277,0,0,0,0,0,0,0,0,0,0,0,0,420370770,379610349,0,0,0,0,0,0,0,0,0
1785576929.915407423,0,0,0,0,0,0,0,0,0,0,0,0,420373831,379613395,0,0,0,0,0,0,0,0,0
1785576930.935075294,0,0,0,0,0,0,0,0,0,0,0,0,420376886,379616385,0,0,0,0,0,0,0,0,0
1785576931.951523201,0,192219,0,0,0,0,0,192685,46701,646200,0,0,420379852,379618743,0,0,0,193449,74531,860000,0,25531,2411
1785576932.966382454,0,1000064,0,0,0,0,0,1000064,30498,483200,0,0,420382605,379620316,0,0,0,1000064,53750,782100,0,22463,788
1785576933.986852559,0,1000064,0,0,0,0,0,1000064,30498,483200,0,0,420385658,379623326,0,0,0,1000064,53750,782100,0,22463,788
1785576935.007874987,0,1000064,0,0,0,0,0,1000064,30498,483200,0,0,420388721,379626337,0,0,0,1000064,53750,782100,0,22463,788
1785576936.033047882,3518171,1000064,3518171,0,3520102,29152,85700,1000064,30498,483200,0,0,420391790,379628387,3532694,371318,3276700,1000064,53750,782100,342900,22463,788
1785576937.056140888,15635996,1000064,15635996,0,15637677,25714,67800,1000064,30498,483200,0,0,420394865,379628395,15650871,274531,810300,1000064,53750,782100,248979,22463,788
1785576938.084794933,28014335,1000064,28014335,0,28015874,25147,64900,1000064,30498,483200,0,0,420397946,379628408,28029274,259368,681500,1000064,53750,782100,234304,22463,788
1785576939.110510176,40401876,1000064,40401876,0,40405528,24900,63700,1000064,30498,483200,0,0,420401012,379628411,40421310,253072,640400,1000064,53750,782100,228228,22463,788
1785576940.138941768,52439406,1000064,52439406,0,52441677,24933,63600,1000064,30498,483200,0,0,420404099,379628433,52455153,251630,631500,1000064,53750,782100,226749,22463,788
1785576941.166411155,64632765,1000064,64632765,0,64635788,24917,63400,1000064,30498,483200,0,0,420407187,379628442,64650540,251067,643700,1000064,53750,782100,226194,22463,788
1785576942.194251970,76846765,1000064,76846765,0,76849012,24880,63200,1000064,30498,483200,0,0,420410257,379628455,76863413,249932,638900,1000064,53750,782100,225083,22463,788
1785576943.217744879,88841704,1000064,88841704,0,88844929,24906,63200,1000064,30498,483200,0,0,420413335,379628465,88859123,249704,637400,1000064,53750,782100,224824,22463,788
1785576944.243079972,101182087,1000064,101182087,0,101183488,24839,63000,1000064,30498,483200,0,0,420416411,379628468,101196283,248621,631000,1000064,53750,782100,223806,22463,788
1785576945.268619673,113431080,1000064,113431080,0,113433952,24799,62900,1000064,30498,483200,0,0,420419485,379628468,113447637,247893,625400,1000064,53750,782100,223115,22463,788
1785576946.294111153,125315842,1000064,125315842,0,125317858,24834,62900,1000064,30498,483200,0,0,420422558,379628477,125330809,247994,623500,1000064,53750,782100,223178,22463,788
1785576947.315473473,137618344,1000064,137618344,0,137620644,24791,62800,1000064,30498,483200,0,0,420425621,379628483,137635369,247324,620100,1000064,53750,782100,222550,22463,788
1785576948.339300073,149845766,1000064,149845766,0,149847546,24764,62600,1000064,30498,483200,0,0,420428687,379628489,149860431,246941,618200,1000064,53750,782100,222194,22463,788
