ts,cmd_get,cmd_set,get_hits,get_misses,rcount,ravg,rp99,wcount,wavg,wp99,badcrc,err5,cpu_total,cpu_idle,re2ec,re2ea,re2ep99,we2ec,we2ea,we2ep99,radmit,wadmit,wret
1785573882.028261114,75304394,0,75304394,0,75301880,17778,44400,0,0,0,0,0,411253762,372088423,75301762,43650,188900,0,0,0,25871,0,0
1785573883.052319177,75304394,0,75304394,0,75301880,17778,44400,0,0,0,0,0,411256836,372091456,75301762,43650,188900,0,0,0,25871,0,0
1785573884.075440246,75304394,0,75304394,0,75301880,17778,44400,0,0,0,0,0,411259902,372094473,75301762,43650,188900,0,0,0,25871,0,0
1785573885.099193103,75304394,0,75304394,0,75301880,17778,44400,0,0,0,0,0,411262971,372097494,75301762,43650,188900,0,0,0,25871,0,0
1785573886.123108765,75304394,0,75304394,0,75301880,17778,44400,0,0,0,0,0,411266043,372100549,75301762,43650,188900,0,0,0,25871,0,0
1785573887.143728613,75304394,0,75304394,0,75301880,17778,44400,0,0,0,0,0,411269103,372103551,75301762,43650,188900,0,0,0,25871,0,0
1785573888.165584846,75304394,0,75304394,0,75301880,17778,44400,0,0,0,0,0,411272167,372106573,75301762,43650,188900,0,0,0,25871,0,0
1785573889.185977534,75304394,0,75304394,0,75301880,17778,44400,0,0,0,0,0,411275232,372109621,75301762,43650,188900,0,0,0,25871,0,0
1785573890.207892277,75304394,0,75304394,0,75301880,17778,44400,0,0,0,0,0,411278291,372112616,75301762,43650,188900,0,0,0,25871,0,0
1785573891.230776995,75304394,0,75304394,0,75301880,17778,44400,0,0,0,0,0,411281359,372115653,75301762,43650,188900,0,0,0,25871,0,0
1785573892.253023766,75304394,0,75304394,0,75301880,17778,44400,0,0,0,0,0,411284426,372118702,75301762,43650,188900,0,0,0,25871,0,0
1785573893.273989356,75304394,0,75304394,0,75301880,17778,44400,0,0,0,0,0,411287487,372121670,75301762,43650,188900,0,0,0,25871,0,0
1785573894.297033715,75304394,0,75304394,0,75301880,17778,44400,0,0,0,0,0,411290554,372124709,75301762,43650,188900,0,0,0,25871,0,0
1785573895.319059896,75304394,0,75304394,0,75301880,17778,44400,0,0,0,0,0,411293624,372127762,75301762,43650,188900,0,0,0,25871,0,0
1785573896.342842623,75304394,0,75304394,0,75301880,17778,44400,0,0,0,0,0,411296690,372130744,75301762,43650,188900,0,0,0,25871,0,0
1785573897.366544360,75304394,0,75304394,0,75301880,17778,44400,0,0,0,0,0,411299760,372133798,75301762,43650,188900,0,0,0,25871,0,0
1785573898.388714378,75304394,0,75304394,0,75301880,17778,44400,0,0,0,0,0,411302827,372136846,75301762,43650,188900,0,0,0,25871,0,0
