cell	ops_M	avg_ms	p50_ms	p99_ms	p999_ms
SF3-D4-GET	13.717	2.12295	2.00700	3.80700	6.78300
SF3-D4-MIX	11.112	2.66117	2.60700	4.51100	7.67900
SF3-D4-SET	6.067	4.98280	4.99100	7.29500	11.51900
SF3-Q8-GET	12.691	2.37421	2.28700	4.22300	7.19900
SF3-Q8-MIX	10.540	2.87511	2.79900	4.89500	8.15900
SF3-Q8-SET	5.669	5.35975	4.35100	9.34300	13.95100
SF3-O4-r2-GET	12.863	2.34174	2.30300	3.99900	7.00700
SF3-O4-r2-MIX	10.587	2.86183	2.83100	4.83100	7.99900
SF3-O4-r2-SET	5.738	5.29550	4.60700	9.15100	13.56700
SF3-OP-r3-GET	12.988	2.31859	2.23900	4.06300	7.26300
SF3-OP-r3-MIX	10.780	2.81022	2.71900	4.83100	8.03100
SF3-OP-r3-SET	5.674	5.35489	4.44700	9.21500	13.75900
SF3-Q1-r2-GET	13.060	2.30493	2.23900	4.04700	7.32700
SF3-Q1-r2-MIX	10.727	2.82368	2.73500	4.86300	8.12700
SF3-Q1-r2-SET	5.738	5.29425	4.35100	9.02300	13.50300
SF3-S16x16-r2-GET	12.514	2.40848	2.31900	4.35100	7.55100
SF3-S16x16-r2-MIX	10.477	2.89232	2.79900	4.99100	8.38300
SF3-S16x16-r2-SET	5.610	5.41603	4.35100	9.40700	14.07900
WFIX-OP-GET	12.862	2.34118	2.28700	4.07900	7.26300
WFIX-OP-MIX	10.954	2.76378	2.67100	4.86300	8.15900
WFIX-OP-SET	6.328	4.79691	3.99900	8.31900	12.67100
R4-OP-GET	12.874	2.33931	2.27100	4.31900	7.32700
R4-OP-MIX	11.181	2.70706	2.63900	4.67100	7.83900
R4-OP-SET	6.350	4.78030	4.01500	8.31900	12.79900
R5-OP-GET	12.894	2.33578	2.27100	4.09500	7.26300
R5-OP-MIX	11.132	2.71534	2.62300	4.79900	8.15900
R5-OP-SET	6.224	4.87839	3.98300	8.70300	13.69500
R5-OP-C	12.664	2.37795	2.30300	4.22300	7.55100
R5-OP-B	11.892	2.54099	2.47900	4.47900	7.90300
R5-OP-A	7.559	4.01236	3.80700	9.66300	12.60700
R5-P1-C	0.570	0.20850	0.18300	0.58300	1.03900
R5-P1-B	0.564	0.21087	0.18300	0.59100	0.99900
R5-P1-A	0.563	0.21157	0.18300	0.61500	1.05500
