cell	start_utc	end_utc	pipe	ratio	dur	ops_M	avg	p50	p99	p999
ST-C-P32	2026-08-05T20:57:10Z	2026-08-05T20:57:40Z	32	0:1	30	9.935	0.35157	0.27900	1.15100	1.80700
ST-C-P64	2026-08-05T20:58:02Z	2026-08-05T20:58:32Z	64	0:1	30	11.612	0.61543	0.51100	2.19100	3.63100
V64-W1	2026-08-05T21:03:09Z	2026-08-05T21:03:39Z	256	0:1	30	13.048	2.30730	2.23900	4.12700	7.26300
V64-W2	2026-08-05T21:04:03Z	2026-08-05T21:04:33Z	256	1:9	30	10.767	2.81235	2.73500	4.89500	8.31900
V64-W3	2026-08-05T21:04:58Z	2026-08-05T21:05:28Z	256	1:0	30	5.689	5.34070	4.41500	9.40700	14.33500
V152-W1	2026-08-05T21:07:59Z	2026-08-05T21:08:29Z	256	0:1	30	11.438	2.65582	2.57500	4.83100	8.76700
V152-W2	2026-08-05T21:08:53Z	2026-08-05T21:09:23Z	256	1:9	30	9.731	3.13056	2.92700	6.07900	9.66300
V152-W3	2026-08-05T21:09:47Z	2026-08-05T21:10:17Z	256	1:0	30	5.338	5.72366	6.07900	8.51100	12.92700
PT-C-Z256	2026-08-05T21:13:19Z	2026-08-05T21:13:49Z	256	0:1	30	12.775	2.35604	2.28700	4.70300	6.36700
PT-B-Z256	2026-08-05T21:14:13Z	2026-08-05T21:14:43Z	256	1:19	30	9.381	3.23353	3.15100	6.14300	8.15900
PT-A-Z256	2026-08-05T21:15:07Z	2026-08-05T21:15:38Z	256	1:1	30	1.734	17.63270	15.55100	47.10300	55.80700
BD3-GET-P1	2026-08-05T21:29:40Z	2026-08-05T21:30:40Z	1	0:1	60	0.576	0.20640	0.18300	0.56700	0.94300
BD3-GET-P8	2026-08-05T21:31:04Z	2026-08-05T21:32:04Z	8	0:1	60	3.437	0.26945	0.21500	0.96700	1.53500
BD3-GET-P32	2026-08-05T21:32:28Z	2026-08-05T21:33:28Z	32	0:1	60	7.787	0.46445	0.38300	1.69500	2.86300
BD3-GET-P64	2026-08-05T21:33:52Z	2026-08-05T21:34:52Z	64	0:1	60	9.671	0.75269	0.71100	2.25500	4.63900
BD3-GET-P128	2026-08-05T21:35:16Z	2026-08-05T21:36:16Z	128	0:1	60	11.625	1.27664	1.25500	2.43100	5.53500
BD3-GET-P256	2026-08-05T21:36:40Z	2026-08-05T21:37:40Z	256	0:1	60	11.923	2.53178	2.54300	3.75900	7.19900
BD3-GET-P384	2026-08-05T21:38:04Z	2026-08-05T21:39:04Z	384	0:1	60	11.025	4.13939	4.19100	5.95100	11.26300
BD3-MIX-P1	2026-08-05T21:39:28Z	2026-08-05T21:40:28Z	1	1:9	60	0.565	0.21045	0.18300	0.58300	0.94300
BD3-MIX-P8	2026-08-05T21:40:52Z	2026-08-05T21:41:52Z	8	1:9	60	3.233	0.28771	0.23100	1.06300	1.73500
BD3-MIX-P32	2026-08-05T21:42:16Z	2026-08-05T21:43:16Z	32	1:9	60	6.817	0.53669	0.44700	1.86300	3.05500
BD3-MIX-P64	2026-08-05T21:43:41Z	2026-08-05T21:44:41Z	64	1:9	60	8.206	0.89784	0.84700	2.75100	4.89500
BD3-MIX-P128	2026-08-05T21:45:05Z	2026-08-05T21:46:05Z	128	1:9	60	9.743	1.53856	1.52700	2.38300	5.53500
BD3-MIX-P256	2026-08-05T21:46:29Z	2026-08-05T21:47:29Z	256	1:9	60	9.843	3.08139	3.08700	4.54300	8.03100
BD3-MIX-P384	2026-08-05T21:47:53Z	2026-08-05T21:48:53Z	384	1:9	60	8.046	5.68203	4.99100	10.94300	15.99900
